file,label
data/french/French1/Peur/Faible/03-P-1-6.aiff,Fear
data/french/French1/Peur/Faible/01-P-1-3.aiff,Fear
data/french/French1/Peur/Faible/04-P-1-4.aiff,Fear
data/french/French1/Peur/Faible/06-P-1-5.aiff,Fear
data/french/French1/Peur/Faible/06-P-1-2.aiff,Fear
data/french/French1/Peur/Faible/06-P-1-1.aiff,Fear
data/french/French1/Peur/Faible/04-P-1-3.aiff,Fear
data/french/French1/Peur/Faible/02-P-1-2.aiff,Fear
data/french/French1/Peur/Faible/05-P-1-4.aiff,Fear
data/french/French1/Peur/Faible/02-P-1-3.aiff,Fear
data/french/French1/Peur/Faible/06-P-1-3.aiff,Fear
data/french/French1/Peur/Faible/05-P-1-2.aiff,Fear
data/french/French1/Peur/Faible/03-P-1-3.aiff,Fear
data/french/French1/Peur/Faible/03-P-1-4.aiff,Fear
data/french/French1/Peur/Faible/06-P-1-6.aiff,Fear
data/french/French1/Peur/Faible/02-P-1-1.aiff,Fear
data/french/French1/Peur/Faible/05-P-1-6.aiff,Fear
data/french/French1/Peur/Faible/01-P-1-5.aiff,Fear
data/french/French1/Peur/Faible/03-P-1-5.aiff,Fear
data/french/French1/Peur/Faible/01-P-1-4.aiff,Fear
data/french/French1/Peur/Faible/04-P-1-5.aiff,Fear
data/french/French1/Peur/Faible/04-P-1-2.aiff,Fear
data/french/French1/Peur/Faible/01-P-1-6.aiff,Fear
data/french/French1/Peur/Faible/04-P-1-1.aiff,Fear
data/french/French1/Peur/Faible/04-P-1-6.aiff,Fear
data/french/French1/Peur/Faible/05-P-1-3.aiff,Fear
data/french/French1/Peur/Faible/01-P-1-1.aiff,Fear
data/french/French1/Peur/Faible/01-P-1-2.aiff,Fear
data/french/French1/Peur/Faible/02-P-1-6.aiff,Fear
data/french/French1/Peur/Faible/05-P-1-5.aiff,Fear
data/french/French1/Peur/Faible/03-P-1-1.aiff,Fear
data/french/French1/Peur/Faible/03-P-1-2.aiff,Fear
data/french/French1/Peur/Faible/06-P-1-4.aiff,Fear
data/french/French1/Peur/Faible/05-P-1-1.aiff,Fear
data/french/French1/Peur/Faible/02-P-1-4.aiff,Fear
data/french/French1/Peur/Faible/02-P-1-5.aiff,Fear
data/french/French1/Peur/Fort/01-P-2-5.aiff,Fear
data/french/French1/Peur/Fort/06-P-2-4.aiff,Fear
data/french/French1/Peur/Fort/01-P-2-4.aiff,Fear
data/french/French1/Peur/Fort/03-P-2-1.aiff,Fear
data/french/French1/Peur/Fort/03-P-2-3.aiff,Fear
data/french/French1/Peur/Fort/06-P-2-2.aiff,Fear
data/french/French1/Peur/Fort/04-P-2-3.aiff,Fear
data/french/French1/Peur/Fort/05-P-2-6.aiff,Fear
data/french/French1/Peur/Fort/04-P-2-5.aiff,Fear
data/french/French1/Peur/Fort/03-P-2-5.aiff,Fear
data/french/French1/Peur/Fort/06-P-2-5.aiff,Fear
data/french/French1/Peur/Fort/06-P-2-3.aiff,Fear
data/french/French1/Peur/Fort/04-P-2-4.aiff,Fear
data/french/French1/Peur/Fort/02-P-2-6.aiff,Fear
data/french/French1/Peur/Fort/05-P-2-2.aiff,Fear
data/french/French1/Peur/Fort/02-P-2-2.aiff,Fear
data/french/French1/Peur/Fort/04-P-2-2.aiff,Fear
data/french/French1/Peur/Fort/05-P-2-4.aiff,Fear
data/french/French1/Peur/Fort/02-P-2-5.aiff,Fear
data/french/French1/Peur/Fort/02-P-2-3.aiff,Fear
data/french/French1/Peur/Fort/06-P-2-6.aiff,Fear
data/french/French1/Peur/Fort/06-P-2-1.aiff,Fear
data/french/French1/Peur/Fort/05-P-2-1.aiff,Fear
data/french/French1/Peur/Fort/02-P-2-4.aiff,Fear
data/french/French1/Peur/Fort/01-P-2-6.aiff,Fear
data/french/French1/Peur/Fort/03-P-2-6.aiff,Fear
data/french/French1/Peur/Fort/03-P-2-2.aiff,Fear
data/french/French1/Peur/Fort/05-P-2-5.aiff,Fear
data/french/French1/Peur/Fort/01-P-2-1.aiff,Fear
data/french/French1/Peur/Fort/05-P-2-3.aiff,Fear
data/french/French1/Peur/Fort/03-P-2-4.aiff,Fear
data/french/French1/Peur/Fort/04-P-2-1.aiff,Fear
data/french/French1/Peur/Fort/04-P-2-6.aiff,Fear
data/french/French1/Peur/Fort/01-P-2-3.aiff,Fear
data/french/French1/Peur/Fort/02-P-2-1.aiff,Fear
data/french/French1/Peur/Fort/01-P-2-2.aiff,Fear
data/french/French1/DВgoЦt/Faible/04-D-1-3.aiff,Disgust
data/french/French1/DВgoЦt/Faible/02-D-1-1.aiff,Disgust
data/french/French1/DВgoЦt/Faible/03-D-1-6.aiff,Disgust
data/french/French1/DВgoЦt/Faible/06-D-1-1.aiff,Disgust
data/french/French1/DВgoЦt/Faible/06-D-1-2.aiff,Disgust
data/french/French1/DВgoЦt/Faible/04-D-1-6.aiff,Disgust
data/french/French1/DВgoЦt/Faible/03-D-1-1.aiff,Disgust
data/french/French1/DВgoЦt/Faible/06-D-1-6.aiff,Disgust
data/french/French1/DВgoЦt/Faible/05-D-1-5.aiff,Disgust
data/french/French1/DВgoЦt/Faible/03-D-1-5.aiff,Disgust
data/french/French1/DВgoЦt/Faible/02-D-1-2.aiff,Disgust
data/french/French1/DВgoЦt/Faible/01-D-1-4.aiff,Disgust
data/french/French1/DВgoЦt/Faible/06-D-1-4.aiff,Disgust
data/french/French1/DВgoЦt/Faible/01-D-1-3.aiff,Disgust
data/french/French1/DВgoЦt/Faible/06-D-1-3.aiff,Disgust
data/french/French1/DВgoЦt/Faible/04-D-1-5.aiff,Disgust
data/french/French1/DВgoЦt/Faible/02-D-1-3.aiff,Disgust
data/french/French1/DВgoЦt/Faible/02-D-1-5.aiff,Disgust
data/french/French1/DВgoЦt/Faible/05-D-1-2.aiff,Disgust
data/french/French1/DВgoЦt/Faible/01-D-1-5.aiff,Disgust
data/french/French1/DВgoЦt/Faible/03-D-1-2.aiff,Disgust
data/french/French1/DВgoЦt/Faible/03-D-1-3.aiff,Disgust
data/french/French1/DВgoЦt/Faible/04-D-1-4.aiff,Disgust
data/french/French1/DВgoЦt/Faible/04-D-1-2.aiff,Disgust
data/french/French1/DВgoЦt/Faible/06-D-1-5.aiff,Disgust
data/french/French1/DВgoЦt/Faible/05-D-1-3.aiff,Disgust
data/french/French1/DВgoЦt/Faible/05-D-1-6.aiff,Disgust
data/french/French1/DВgoЦt/Faible/01-D-1-2.aiff,Disgust
data/french/French1/DВgoЦt/Faible/02-D-1-4.aiff,Disgust
data/french/French1/DВgoЦt/Faible/04-D-1-1.aiff,Disgust
data/french/French1/DВgoЦt/Faible/02-D-1-6.aiff,Disgust
data/french/French1/DВgoЦt/Faible/03-D-1-4.aiff,Disgust
data/french/French1/DВgoЦt/Faible/01-D-1-6.aiff,Disgust
